,customer_name,review_date,item_title,item_link,item_rating,review_text
715,Nadja,2021-12-09,"Board Personalized, Personalized Gift Baby, Baby Gift, Breakfast Board Personalized, Cutting Board Kids, Christmas",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,
716,Nadja,2021-12-09,"Lunch box personalized, Lunch box children, Lunch box stainless steel personalized, Personalized gifts, Lunch box kindergarten, Lunch box",www.etsy.com/listing/1027339542/lunch-box-personalized-lunch-box?ref=shop_review,5 out of 5 stars,
717,Anja,2021-12-09,"XXL Personalized lunch box, Lunch box children, Lunchbox, Lunch box Kindergarten, Bread box personalized, Lunch box stainless steel, Snack box",www.etsy.com/listing/1043637572/xxl-personalized-lunch-box-lunch-box?ref=shop_review,4 out of 5 stars,Prima Lunchboxen mit schöner Gravur. Versandzeit mit 14 Tagen war nur leider zu lang.
718,Vanessa,2021-12-09,"Board Personalized, Personalized Gift Baby, Baby Gift, Breakfast Board Personalized, Cutting Board Kids, Christmas",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,
719,Claudia,2021-12-09,"XXL lunch box personalized, lunch box children, lunch box, stainless steel lunch box, lunch box personalized, Christmas gift children",www.etsy.com/listing/1031894888/xxl-lunch-box-personalized-lunch-box?ref=shop_review,5 out of 5 stars,Die Brotdose ist wunderschön und ganz liebevoll verpackt :-)
720,Claudia,2021-12-09,"XXL lunch box personalized, lunch box children, lunch box, stainless steel lunch box, lunch box personalized, Christmas gift children",www.etsy.com/listing/1031894888/xxl-lunch-box-personalized-lunch-box?ref=shop_review,5 out of 5 stars,
721,Anna,2021-12-09,"Holzbrett mit Gravur, Frühstücksbrettchen Kinder, Kinderlöffel, Baby Geschenk, Brett Hase, Personalisiertes Geschenk Baby,Vesperbrett Kinder",www.etsy.com/listing/932376212/wooden-board-with-engraving-breakfast?ref=shop_review,5 out of 5 stars,
722,Lea Schupp,2021-12-09,"Board Personalized, Personalized Gift Baby, Baby Gift, Breakfast Board Personalized, Cutting Board Kids, Christmas",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,
723,Alissa,2021-12-09,"Children's cutlery with name, baby gift personalized, wooden spoon with engraving and animal pattern, baby spoon, children's spoon, Wooden Spoon",www.etsy.com/listing/934796119/childrens-cutlery-with-name-baby-gift?ref=shop_review,5 out of 5 stars,Tolle Qualität und es hat super geklappt mit der Personalisierung. Bin sehr zufrieden!
724,Anja,2021-12-09,"Wooden board with engraving, breakfast boards children, baby gift, gift baptism, personalized gift baby, vesper board children",www.etsy.com/listing/1039135497/wooden-board-with-engraving-breakfast?ref=shop_review,5 out of 5 stars,Vielen Dank für das wirklich schön gestaltete Brettchen. Es ist sehr sauer verarbeitet und sieht klasse aus-unser kleines Krümelmonster wird sich freuen. Werde bestimmt noch einmal bestellen!!
725,Sandy,2021-12-09,"Bread tin personalized, bread tin kids, lunchbox, bread tin nursery, bread box personalized, bread tin stainless steel kids",www.etsy.com/listing/992941334/bread-tin-personalized-bread-tin-kids?ref=shop_review,4 out of 5 stars,"Die Dose ist super niedlich gemacht und als Geschenk sehr hübsch!
Versand sehr zügig. 

Leider überhaupt kein Pluspunkt ist die extra dazu gekaufte Trennwand. Die passt nicht wirklich rein und hält nicht mal einen kleinsten Ruckler Stand. Völlig sinnlos leider."
726,hijanina,2021-12-09,"Recipe book, Gift Freudine, Cookbook, Gift Mom, Cookbook personalized, Gift Grandma, Cookbook Wood",www.etsy.com/listing/952239236/recipe-book-gift-freudine-cookbook-gift?ref=shop_review,5 out of 5 stars,"Sehr schönes Büchlein, wie auf den Bildern. Und sehr nette und hilfreiche Kommunikation mit Celina :)"
727,J. Groeneveld,2021-12-09,"Baby Gift Birth, Gift Birth, Baby Gift, Personalized Gift Baby, Christmas Gift, Board Personalized, Wooden Plate",www.etsy.com/listing/1087986267/baby-gift-birth-gift-birth-baby-gift?ref=shop_review,5 out of 5 stars,
728,Anita,2021-12-09,"Breakfast boards children and children's cutlery, wooden board with engraving, board personalized child, cutting board, gift child",www.etsy.com/listing/966776317/breakfast-boards-children-and-childrens?ref=shop_review,5 out of 5 stars,Tolle Brettchen! Ich habe gleich mehrere als Weihnachtsgeschenke gekauft und jedes ist toll! Schnelle Lieferung und liebevoll verpackt.
729,Hanna,2021-12-09,"Board Personalized, Personalized Gift Baby, Baby Gift, Breakfast Board Personalized, Cutting Board Kids, Christmas",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,Meine Enkel waren begeistert von ihren eigenen personalisierten Brettchen. Ganz toll
730,janineschuster1,2021-12-09,"Baby Gift Birth, Gift Birth, Baby Gift, Personalized Gift Baby, Christmas Gift, Board Personalized, Wooden Plate",www.etsy.com/listing/1087986267/baby-gift-birth-gift-birth-baby-gift?ref=shop_review,5 out of 5 stars,
731,Lea,2021-12-09,"Wooden board personalized, Breakfast board round, Boards with engraving, Personalized cutting board, Snack board",www.etsy.com/listing/1049049662/wooden-board-personalized-breakfast?ref=shop_review,5 out of 5 stars,"Ganz toll! Die Kommunikation mit Celina war unkompliziert und herzlich.
Ich bin mehr als zufrieden"
732,Lea,2021-12-09,"Wooden board personalized, Breakfast board round, Boards with engraving, Personalized cutting board, Snack board",www.etsy.com/listing/1049049662/wooden-board-personalized-breakfast?ref=shop_review,5 out of 5 stars,
733,Wasitthee,2021-12-09,"Board Personalized, Personalized Gift Baby, Baby Gift, Breakfast Board Personalized, Cutting Board Kids, Christmas",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,
734,Wasitthee,2021-12-09,"Baby gift personalized, Breakfast board children, Personalized gifts for birth, Boards, Baby gift",www.etsy.com/listing/1015110580/baby-gift-personalized-breakfast-board?ref=shop_review,5 out of 5 stars,
735,Julia,2021-12-09,"Wooden board with engraving, breakfast boards children, baby gift, gift baptism, personalized gift baby, vesper board children",www.etsy.com/listing/1039129711/wooden-board-with-engraving-breakfast?ref=shop_review,5 out of 5 stars,
