,target_id,total_sales,difference,monthly_sales,item_link_x,total_number_of_comments,average_comments_permonth,total_number_of_reviews,average_reviews_permonth
715,719853778,12,4,3.0,https://www.etsy.com/listing/719853778/viking-stud-from-chernigov-with-ring-08?ref=shop_review,3,0.75,3,0.75
716,719866578,3,18,0.16666666666666666,https://www.etsy.com/listing/719866578/viking-strap-divider-large-08-gvt-gr-g1?ref=shop_review,2,0.1111111111111111,2,0.1111111111111111
717,719867162,20,8,2.5,https://www.etsy.com/listing/719867162/laced-weapon-holder-simple-04-sh-sch-1?ref=shop_review,4,0.5,7,0.875
718,719867516,38,8,4.75,https://www.etsy.com/listing/719867516/laced-weapon-holder-simple-04-sh-sch-2?ref=shop_review,7,0.875,9,1.125
719,719868816,8,18,0.4444444444444444,https://www.etsy.com/listing/719868816/leather-mouse-pad-gamer-12-mouse-1-h4-c?ref=shop_review,2,0.1111111111111111,2,0.1111111111111111
720,719869932,8,17,0.47058823529411764,https://www.etsy.com/listing/719869932/leather-mouse-pad-round-12-mou-3-h4-c-5?ref=shop_review,1,0.058823529411764705,2,0.11764705882352941
721,719885922,8,20,0.4,https://www.etsy.com/listing/719885922/horn-toggle-5-cm-05-taver-horn-h8-b-6?ref=shop_review,1,0.05,2,0.1
722,719886714,4,6,0.6666666666666666,https://www.etsy.com/listing/719886714/buckle-with-celtic-dogs-09-buck-4-cd?ref=shop_review,1,0.16666666666666666,1,0.16666666666666666
723,719889346,14,22,0.6363636363636364,https://www.etsy.com/listing/719889346/heart-shaped-viking-pendant-0-an-wik?ref=shop_review,2,0.09090909090909091,3,0.13636363636363635
724,719891800,2,2,1.0,https://www.etsy.com/listing/719891800/leather-frog-with-heavy-ring-04-wh-ring?ref=shop_review,1,0.5,2,1.0
725,719893180,3,0,inf,https://www.etsy.com/listing/719893180/embossed-frog-with-extra-large-ring-04?ref=shop_review,2,inf,2,inf
726,720117896,4,5,0.8,https://www.etsy.com/listing/720117896/bodice-belt-morgaine-10-d-mieder?ref=shop_review,2,0.4,2,0.4
727,720119960,6,16,0.375,https://www.etsy.com/listing/720119960/bodice-belt-morgaine-celtic-knot-10-d?ref=shop_review,2,0.125,2,0.125
728,720120438,4,12,0.3333333333333333,https://www.etsy.com/listing/720120438/bodice-belt-bertholdin-a-10-d-mieder?ref=shop_review,1,0.08333333333333333,3,0.25
729,720121610,10,22,0.45454545454545453,https://www.etsy.com/listing/720121610/bodice-belt-bertholdin-a-embossed-10-a?ref=shop_review,3,0.13636363636363635,3,0.13636363636363635
730,720136380,75,17,4.411764705882353,https://www.etsy.com/listing/720136380/forged-medieval-hasp-moustache-16-haspe?ref=shop_review,11,0.6470588235294118,14,0.8235294117647058
731,720140518,2,23,0.08695652173913043,https://www.etsy.com/listing/720140518/medieval-button-rilled-06-button-rill-z?ref=shop_review,1,0.043478260869565216,1,0.043478260869565216
732,721948615,19,24,0.7916666666666666,https://www.etsy.com/listing/721948615/viking-sword-chape-hedeby-07-ob-haithabu?ref=shop_review,2,0.08333333333333333,4,0.16666666666666666
733,722478095,16,4,4.0,https://www.etsy.com/listing/722478095/split-leather-belt-celtic-dogs-4-cm-10?ref=shop_review,6,1.5,7,1.75
734,725393681,38,0,inf,https://www.etsy.com/listing/725393681/carbon-steel-knife-blade-skinner-02?ref=shop_review,6,inf,8,inf
735,725396649,57,4,14.25,https://www.etsy.com/listing/725396649/sax-blade-jorvik-carbon-steel-02-sax?ref=shop_review,10,2.5,15,3.75
736,725613084,3,9,0.3333333333333333,https://www.etsy.com/listing/725613084/medieval-table-knife-horn-handle-02-m-al?ref=shop_review,1,0.1111111111111111,1,0.1111111111111111
